ts,e2e_ms,processing_ms,bytes_sent,status
2025-10-29 17:35:37,1769.33,,47568,200
2025-10-29 17:35:37,792.88,,47522,200
2025-10-29 17:35:38,580.85,,45808,200
2025-10-29 17:36:10,2189.74,,45769,200
2025-10-29 17:36:12,1429.23,,45639,200
2025-10-29 17:36:13,1040.83,,46484,200
2025-10-29 17:36:14,932.28,,45482,200
2025-10-29 17:36:14,608.0,,44937,200
2025-10-29 17:36:15,585.04,,45021,200
2025-10-29 17:36:16,645.72,,47059,200
2025-10-29 17:36:17,562.59,,44821,200
2025-10-29 17:36:18,579.77,,43394,200
2025-10-29 17:36:19,537.51,,45945,200
2025-10-29 17:36:20,570.46,,45766,200
2025-10-29 17:36:21,533.89,,45030,200
2025-10-29 17:36:22,594.44,,44712,200
2025-10-29 17:36:23,551.96,,45083,200
2025-10-29 17:36:24,553.52,,44811,200
2025-10-29 17:36:25,548.61,,43264,200
2025-10-29 17:36:26,520.34,,42337,200
2025-10-29 17:36:27,591.38,,44273,200
2025-10-29 17:36:28,600.37,,47525,200
2025-10-29 17:36:29,516.42,,48221,200
2025-10-29 17:36:30,584.03,,47289,200
2025-10-29 17:36:31,553.67,,48891,200
2025-10-29 17:36:32,504.28,,48570,200
2025-10-29 17:36:33,752.37,,48850,200
2025-10-29 17:36:34,550.0,,48391,200
2025-10-29 17:36:35,558.71,,47564,200
2025-10-29 17:36:36,548.17,,44356,200
2025-10-29 17:36:37,560.85,,45051,200
2025-10-29 17:36:38,589.11,,44717,200
2025-10-29 17:36:39,567.99,,44904,200
